Title,Job Position,Location,Founded,Employees,About,Skills,Link
Leena AI,Growth Analyst,Gurgaon,Founded in 2015,200 - 500 employees,"Founded in 2018 Leena AI is anAutonomous Conversational AI-Backed Employee Experience Platformthat is powerful, flexible, and can meet the needs of any enterprise.
Trusted by5M+employeesacross companies likeNestle, Puma, AirAsia, Coca-Cola, Lafarge Holcim, and Abbott, we have transformed1B conversations.

Leena AI has raised over $40 Mn from top Silicon Valley investors like Greycroft, YCombinator, Elad Gil, Bessemer Venture Partners","Microsoft Excel
Python
R
SQL",https://www.instahyre.com/job-329564-growth-analyst-at-leena-ai-gurgaon/
Linarc,Fullstack Developer,Chennai,Founded in 2018,10 - 50 employees,"Linarc is a cloud-based collaborative construction management platform that powers project and operations management in the building industry. With a suite of web-based and mobile applications, construction professionals can manage their projects from anywhere, be it the office or the field.

User persona-based web consoles provide various contractors, architects, engineers, builders, and owners access to their mission-critical data and drive their projects from conception to completion.

Dedicated mobile applications help project managers, foremen, crew members, and other field workers access the project assets, record their activities, report their concerns, and track crew/equipment deployments, fieldwork progress, and more.

The integrated system enables contractors to manage their portfolio of projects with material procurement, allocation of the crew, equipment, and other resources, and track projects' schedule/financial performances and more.

Predefined and customizable workflows automate step-by-step forwarding of critical project documents to the responsible stakeholders for their actions, throughout their life-cycle, from creation to approval and closure.

Intuitive and informative dashboards and reports provide statistical information on various parameters and metrics crucial for continuous monitoring and making data-driven decisions to minimize schedule and budget overruns.

Third-party app integrations supplement various project management activities like scheduling, budgeting, digital singing, online storage, and more.

Linarc puts high-tech and cost-effectiveness together in a platform for the construction industry. The innovations and automation make project owners and construction professionals focus on what matters - quality, cost, and schedules. Linarc takes care of the rest.

We serve mid to large-scale construction firms, like developers, builders, and contractors in the residential, commercial, industrial, structural building, and retail sectors.","JavaScript
Python
React.js
Vue.js",https://www.instahyre.com/job-231165-fullstack-developer-at-linarc-chennai/
Arya.ai,Senior Data Scientist,Mumbai,Founded in 2013,10 - 50 employees,"Arya.ai is a platform for developers and enterprises that simplifies buildout and manages the deployment of deep learning-based applications. Our vision is to simplify the process of building artificial intelligence to an extent that 'anyone' can use it to build the next-generation products that can solve the most complex problems.

In 2013 we started with a team of researchers and scientists from mathematics and computing with experience in academic research from various prestigious institutions. The majority of our investment is in research and development to find better and optimal ways of reaching our goal. Over time, we have also bolstered our team with some of the best business experts to guide our energies towards a common goal of enabling developers and enterprises to build advanced next-generation products using AI, easily!","Transformers
Python
Generative AI
TensorFlow
Neural Networks",https://www.instahyre.com/job-313192-senior-data-scientist-at-arya-mumbai/
Games24x7,Data Analyst - 2 (Senior Data Analyst),Bangalore,Founded in 2006,200 - 500 employees,"Games24x7 is one of the most valuable gaming companies in India with a successful portfolio of fun, thrilling and engaging experiences for players from all walks of life. We build immersive games with a purposeto create a fun and sociable way to spend time, encourage teamwork and develop cognitive skills.

As a pioneer in the Indian online and mobile gaming space, we were the first business in India to launch skill games with handsome cash prizes. We launched our first game in 2009 and by 2017 over 15 million players had played at least one of our 6 games, making us India's highest-grossing mobile gaming business.

Our flagship product RummyCircle is India's top destination to play Rummy, India's favourite card game. In 2015 we set up our freemium games studio Ultimate Games which already has 5 titles under its belt, with Ultimate Teen Patti and Ultimate Rummy being among the top-grossing freemium games in India.
We believe that the only way to understand players' needs and pain points is through careful analysis of the billions of data points they send our way every day. By examining and analyzing data, we create highly individualized and contextualized experiences for our players.

We have a product team with powerful imaginations to create the greatest games of all time. Our world-class data science team understands critical business problems, identifies specific analytics and develops unique approaches to address the complex problems. On any given day, we make sure the players have sensational gaming experience.","Hive
Power BI
Python
R
SQL
Tableau",https://www.instahyre.com/job-309407-data-analyst-2-senior-data-analyst-at-games24x7-bangalore/
Sprinklr,Director of Machine Learning - AI,Gurgaon,Founded in 2009,More than 1000 employees,"Sprinklr was founded in the year 2009 with the core idea to help large enterprises, not just successfully adapt to the realities of a world dominated by mobile, social and network-empowered customers, but also to thrive in it. Sprinklr provides an enterprise Social Relationship Platform, SaaS based, to serve as the infrastructure for many of the world's most social companies including Intel, Dell, Virgin America, Cisco Systems, DuPont, Samsung, and General Motors.

The product features include:
Social Governance, including account ownership and approvals, across internal business/geographic units.
Social Engagement across multiple accounts and channels (Facebook, Twitter, LinkedIn, YouTube, Flickr, Foursquare, Slide-share, Blogs etc. ) including assignment workflows and content management including sourcing, curation and multi-channel publishing
Social Audience Management including influence and engagement scoring
Social Analytics providing granular level channel and campaign reporting and insights
Social Integration enabling connections with existing enterprise transactional and reporting systems.

Our product system supports Twitter, Facebook, LinkedIn, YouTube, Slideshare, FourSquare, Wordpress and Tumblr, Weibo, QQ, and RenRen for posting, monitoring and reporting. There's additional social networks being added frequently.

Industry-wide Accolades
Forrester Research called Sprinklr the most powerful technology on the market.
The Altimeter Group calls Sprinklr the most capable Social Media Management System, to serve the needs of large organisations.","Computer Vision
Machine Learning
NLP
Python",https://www.instahyre.com/job-326913-director-of-machine-learning-ai-at-sprinklr-gurgaon/
Google,Senior Software Engineer,"Bangalore, Hyderabad, Work From Home",Founded in 1998,More than 1000 employees,"Google's mission is to organize the worlds information and make it universally accessible and useful.

Since our founding in 1998, Google has grown by leaps and bounds. From offering search in a single language we now offer dozens of products and services including various forms of advertising and web applications for all kinds of tasks in scores of languages. And starting from two computer science students in a university dorm room, we now have thousands of employees and offices around the world. A lot has changed since the first Google search engine appeared. But some things haven't changed: our dedication to our users and our belief in the possibilities of the Internet itself.",".NET
C
C#
C++
Golang
Java
Python",https://www.instahyre.com/job-174616-senior-software-engineer-at-google-2-bangalore-hyderabad-work-from-home/
Spring Financial,Full Stack Developer,Gurgaon,Founded in 2015,200 - 500 employees,"Spring Financial is a leading financial technology company that provides all Canadians with simplified money solutions to help build credit, save money, and borrow responsibly. Millions of Canadians have been locked out of the financial system and are stuck in a payday cycle of high-interest debt without any opportunity to improve their situation. Our mission is to democratize access to better credit with an industry-leading suite of financial solutions that provide better opportunities for Canadians to build credit, save money, and access premium loan products.

Our industry-leading product set including signature credit-building products, mortgage solutions, and personal lending has allowed hundreds of thousands of Canadians to access financing online, via text, or over the phone - all from the comfort of their own home. We have become one of the largest fintech companies in Canada with over a million applicants and 250,000 product originations.

We're high-energy entrepreneurs who are driven to provide fair-priced financial products to all Canadians. We're a technology-first company that loves thinking outside the box, providing constant opportunities for our team members to advance their careers. We build products that make a meaningful impact in the lives of many Canadians and bring positive change to the financial industry!","JavaScript
PHP
Python
Angular
Laravel
React.js
Vue.js",https://www.instahyre.com/job-323119-full-stack-developer-at-spring-financial-gurgaon/
Jumbotail,Decision Science Analyst,Bangalore,Founded in 2015,200 - 500 employees,"Jumbotail(www.Jumbotail.com ) is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores (Kiranas). Jumbotail ecosystem has 4 in-house, proprietary platforms - B2B online marketplace, Supply Chain & Logistics, Fintech for SME Lending, and Retail platform that powers its J24 branded convenience grocery stores. Jumbotail transforms traditional unorganized Kirana stores into J24 branded modern convenience grocery stores, by providing a complete business toolkit and playbook consisting of J24 consumer branding, in-store GoldenEye retail technology and processes, real-time data-driven product selection and merchandising insights, integrated supply chain with daily store servicing, Green Card loyalty program and payment solutions which create a differentiated in-store experience for consumers. J24 also provides a complete omnichannel experience by taking the store online and also integrating with hyperlocal platforms like Swiggy, Dunzo, and Flipkart. Jumbotail was founded by Karthik & Ashish, classmates from the Stanford MBA class of 2011 The company has raised USD $54M so far from Nexus Ventures, Heron Rock, VII Ventures, Nutresa, Veronorte, Kalaari Capital, and several well-renowned family offices and HNIs across the world. In Dec 2020 Jumbotail completed its $25M fundraise with two back to back rounds of $14.2M (Dec 2020) and $11M (Oct 2020). We have a strong and passionate team that is motivated to solve real-world problems and impact lives. Together, we are reimagining and reengineering the food and grocery ecosystem in India through intelligent technology, innovative business models, and intuitive design. We are serving thousands of happy and satisfied customers who trust Jumbotail for their food and grocery needs every day. While our market potential is huge - in the order of hundreds of billions of dollars, the opportunity requires us to solve challenging problems that are so unique to India that copycat models will not work. We are putting our customers first and building technologies, products, platforms and services, and cutting-edge supply chains that will work for the next billion Indians who have fundamentally different needs - access, language, selection, supply chain, financial and cultural.","SQL
Python
R
Data Analysis
Tableau",https://www.instahyre.com/job-322865-decision-science-analyst-at-jumbotail-bangalore/
Physarum,Senior ML Engineer,Bangalore,Founded in 2020,10 - 50 employees,"A no-code platform for creation, collaboration, deployment, and complete lifecycle management of an AI application. We offer a collaborative ML environment that enables data scientists, ML engineers, and app developers to share resources and innovate together. The features of the product include serverless deployments, drag, and drop builder, scaling and lifecycle management of streaming applications, automated deployment, and scaling, the democratization of data access, integrations, etc.

Physarum platform comes with 200+ native AI algorithms, streaming tasks, and data science functions which can be used across multiple projects. Physarum also provides an SDK for developers to add custom components - which can then be used by non-coding team-mates through GUI - sharing costs and time incurred from initial AI projects across other teams and related projects.","Computer Vision
Data Mining
Machine Learning
NLP
Python
BeautifulSoup
CUDA
Keras
NLTK
PyTorch
Scikit-learn
spaCy
TensorFlow",https://www.instahyre.com/job-159314-senior-ml-engineer-at-physarum-bangalore/
Myntra,Data Scientist,Bangalore,Founded in 2007,More than 1000 employees,"Myntra is India's leading e-commerce company committed to making fashion and lifestyle products accessible to everyone. We create solutions that disrupt the ordinary and help make the world a happier, more fashionable place.

We are a company that is constantly evolving into newer and better forms and we look for people who are ready to evolve with us. From our beginnings as a customization company in 2007 to being technology and fashion pioneers today, Myntra is going places and we want you to take this journey with us.",Python,https://www.instahyre.com/job-327217-data-scientist-at-myntra-3-bangalore/
Razorpay,Engineering Manager,Bangalore,Founded in 2014,More than 1000 employees,"Razorpay, a full-stack financial services company, and a recently crowned Unicorn, helps Indian businesses with comprehensive and innovative solutions built over robust technology to address the entire length and breadth of the payment and banking journey for any business.

Established in 2014 the company provides technology payment solutions to over 5Mn businesses. Founded by alumni of IIT Roorkee, Shashank Kumar and Harshil Mathur, Razorpay is the 2nd Indian company to be a part of Silicon Valley's largest tech accelerator, Y Combinator. Marquee investors such as GIC, Tiger Global, Sequoia Capital India, Ribbit Capital, Matrix Partners, Y Combinator and MasterCard have invested a total of $366.5 Mn through Series A, B, C, D & E funding. Around 33 angel investors have invested in Razorpay's mission to simplify payments & banking and redefine how finance works in India.

Three years since its founding, Razorpay rebranded itself in 2017 as Razorpay 2.0 a Converged Payments Solution company with a product suite designed to ease businesses of managing concerns around the flow of money in their financial systems. In 2019 Razorpay acquired two companies - Opfin, a Payroll & HR Management Software company and Thirdwatch, an Artificial Intelligence (AI) driven company specialising in big data & machine learning for real-time fraud prevention. Progressing in its journey that started with Razorpay 2.0 the Company also launched it's neobanking platform, RazorpayX & lending platform, Razorpay Capitalboth designed to power the financial systems for disruptive companies.

Razorpay aims to simplify, accelerate, & supercharge every aspect of a business' financial operations. From accepting payments, managing cash flows to instant settlements and collateral-free business loans to reconciling transactions and flexible payouts - all in one single platform.

In the last 6 years, the company has powered digital payments for over 5Mn businesses including likes of Facebook, Airtel, BookMyShow, Ola, Zomato, Swiggy, Cred, ICICI Prudential among others. In the last 6 months, Razorpay has witnessed a 40-45% growth, month-on-month. The company now plans to further solidify its position as one of the largest full-stack fintech companies in the country & also expects a 4x growth in its revenue in this year 2021","Golang
Java
Node.js
PHP
Python
Hibernate
J2EE
Spring",https://www.instahyre.com/job-326918-engineering-manager-at-razorpay-bangalore/
OneFin,Backend Developer (Django),"Bangalore, Work From Home",Founded in 2016,10 - 50 employees,"OneFin is a suite of financial technology tools that your business can benefit from. We ourselves have run businesses and we know the amount of time, effort & resources spent in performing financial operations. Be it bulk payouts, salary transfers, collections, reconciling payments & so on - we have technologies that make all this happen at a click of a button so that you can spend more time on what you are best at - running your business.

OneFin has been built based on first hand experiences of many problems businesses, especially SMEs, face in India. We firmly believe that in order to run a profitable business that can scale, right set of technology tools are a must. Over last 3.5 years, we have facilitated many lenders, fintech companies & SMEs in their growth stories.

Investors:OneFin counts Y Combinator, Khosla Ventures, Vy Capital, and some angels as our investors, and works with prominent domestic partners like MAS Financial Ltd.","Python
Django",https://www.instahyre.com/job-324478-backend-developer-django-at-onefin-bangalore-work-from-home/
CheQ,Senior Software Engineer,Bangalore,Founded in 2022,10 - 50 employees,"CheQ is a Bengaluru-based fintech startup, the newest and noisiest on the block. We aim to help customers understand, manage and leverage credit in ways that augment their lifestyle choices. And while doing so, make the experience fun and rewarding! Founded by industry veterans, and backed by marquee investors CheQ is committed to ensuring a fantastic credit life for every Indian.

We enable our customers to access their free, personalized dashboard to monitor their credit scores and get key insights on their credit health. CheQ encrypts all transactions and data to ensure a highly secure payment experience for its users. CheQ is PCI DSS Level 1 compliant and saves card information as per RBI guidelines.","Generative AI
LLMs
Python",https://www.instahyre.com/job-323793-senior-software-engineer-at-cheq-2-bangalore/
Shield,Software Engineer (Machine Learning),Bangalore,Founded in 2008,50 - 200 employees,"Shield is the world's leading risk intelligence company, empowering online businesses to stop fraud, build trust, and drive growth. Powered by the latest AI technology, Shield combines cutting-edge device fingerprinting with its proprietary global intelligence network to detect new and unknown fraud threats in real-time. Shield offers a range of solutions that span device fingerprinting, enterprise-grade protection, ad fraud prevention, and alternative credit risk intelligence. With offices across the globe and customers on every continent, Shield is rapidly achieving its global mission - to Shield the world from all online fraud.","Machine Learning
Fraud Management
Credit Risk Management
Python",https://www.instahyre.com/job-286705-software-engineer-machine-learning-at-shield-bangalore/
Porter,Machine Learning Engineer,Bangalore,Founded in 2014,500 - 1000 employees,"Porter is a late stage venture disrupting the logistics space in India. We are an online marketplace for surface logistics and are trying to address market inefficiencies and low capacity utilization in the logistics sector, namely difficulty in getting the return trip/fare or idle unused inventory using mobile technology.

We help e-commerce, FMCG, SMEs, traders, 3PLs, Courier, Cargo companies optimize their logistics with the help of our dedicated fleet and in-house technology. Our clientele includes ITC, Flipkart, Amazon, Furlenco, Delhivery, Aramex, Urban Ladder, Pepperfry, Parle Agro, Ola Store, and many more.

Founded by IIT graduates and funded by the top-tier VCs, we have shown steep growth in past 5 years.","Machine Learning
Python
NLP
Spark
PyTorch",https://www.instahyre.com/job-319352-machine-learning-engineer-at-porter-bangalore/
AiDash,SSE (SaaS),Bangalore,Founded in 2019,200 - 500 employees,"AiDash is making critical infrastructure industries climate-resilient and sustainable with satellites and AI. Using our full-stack SaaS solutions, customers in electric, gas, and water utilities, transportation, and construction are transforming asset inspection and maintenance - and complying with biodiversity net gain mandates and carbon capture goals. Our customers deliver ROI in their first year of deployment with reduced costs, improved reliability, and achieved sustainability goals. Learn more at www.AiDash.com .","JavaScript
Python
Django
React.js",https://www.instahyre.com/job-320835-sse-saas-at-aidash-bangalore/
Atlassian,Senior Software Engineer - Backend,Work From Home,Founded in 2002,More than 1000 employees,"We're a team of 7000+ Atlassians supporting an international group of 250,000+ customers. We build tools like Jira, Confluence, Bitbucket, and Trello to help teams across the world become more nimble, creative, and aligned.

At Atlassian, our future is rooted in helping teams unleash their potential by building tools that inspire collaboration and facilitate growth interested in what's next? We're looking for people who believe that we can accomplish so much more together than apart.

Check out our open roles athttps: //www. Atlassian.com/company/careers/all-jobs

Work is wherever you are

Atlassian believes the future of work is distributed. So whatever your preference - working from home, an office, or in between - you choose the place that's best for your work and your lifestyle.

Our office is in Bengaluru, but we offer flexibility for eligible candidates to work remotely across India.

Want to work from a different place this summer? Go for it! You can stay and work outside your designated work location for up to 90 days a year. And our digital-first culture means we default to virtual meetings and place greater emphasis on async communications.",".NET
C++
Golang
Java
Node.js
Python
Ruby
Scala",https://www.instahyre.com/job-283368-senior-software-engineer-backend-at-atlassian-work-from-home/
Flipkart,SDE 4 - Backend,Bangalore,Founded in 2007,More than 1000 employees,"Flipkart is India's leading ecommerce marketplace offering more than 30 million products cross 70+ categories including Books, Media, Consumer Electronics and Lifestyle.

Flipkart is known for its path-breaking services like Cash on Delivery, and a 30-day replacement policy. Flipkart is the only online player offering services like In-a-Day Guarantee (50 cities) and Same-Day-Guarantee (13 cities) at scale. Its annual subscription service, Flipkart First, is the first of its kind in the country.

Launched in October 2007 Flipkart has become the preferred online marketplace for leading Indian and international brands.

Flipkart, currently 33,000 people strong, has 45 million registered users clocking over 10 million daily visits. Flipkart's technology has enabled it to deliver 8 million shipments per month - and this number is only growing.","Java
Data Structures
Algorithms
Python
C++",https://www.instahyre.com/job-328639-sde-4-backend-at-flipkart-bangalore/
Out of the Blue,Lead Data Scientist,Bangalore,Founded in 2020,0 - 10 employees,"Out of the Blue is an AI-driven insights platform that helps identify patterns in the data that are affecting KPIs and metrics. It raises alerts to material metric movement (behavior changes) that help organizations take corrective actions in time. This frees up analysts and enables them to focus on running business. Think of us as insurance that machine intelligence is watching over your business. We want to help create the intelligence once promised and never delivered in Business Intelligence software. In short, our mission is to help data-driven professionals leapfrog the grunt-work of tedious, repetitive, and incomplete data explorations to answer the fundamental what and why questions that animate organizations.

The seasoned founding team at Out of the Blue has lived experiences working at companies like Google, eBay and PayPal and degrees from Stanford, Berkeley, and Booth. Backed by premier Silicon Valley VCs, we're re-imagining how teams wield data to drive decisions. We want to automate away the boring parts of analytics and put the intelligence back into Business Intelligence.","Python
TensorFlow
PyTorch",https://www.instahyre.com/job-325993-lead-data-scientist-at-out-of-the-blue-bangalore/
Botminds AI,Sr. ML Engineer,Bangalore,Founded in 2015,50 - 200 employees,"Botminds is a platform to capture, search, analyze, and automate documents and web pages. They provide enterprise-grade scalability, reliability, security, data privacy, and reliability and service. The platform involves solutions like providing finance and accounting operations, digital transformation, and research and analysis. The automation is done using one holistic, intelligent automation platform.","NLP
Python
LLMs
PyTorch
TensorFlow",https://www.instahyre.com/job-294237-sr-ml-engineer-at-botminds-ai-bangalore/
OptIQ.AI,DevOps Engineer - I,Bangalore,Founded in 2021,0 - 10 employees,"OptIQ is an AI platform that creates and secures a scalable, compliant infrastructure stack for startups. At its essence, DevOps involves closer collaboration and shared responsibility between development and operations for the products they create and maintain. It involves cultivating multidisciplinary teams who take accountability for the entire lifecycle of a product. They strive to communicate frequently, increase efficiencies, and improve the quality of services they provide to customers.

In a DevOps culture, typically the Ops team is defining how production monitoring, alerting, etc. work. Staging and development environments are typically monitored differently by developers themselves. With the NoOps culture in mind, we wanted to shift the full monitoring responsibility to the development teams, so that testing could happen in production, also known as shifting left. NoOps aims to improve productivity and deliver results much faster than DevOps. In the ideal scenario, developers never have to collaborate with a member of the operations team. Instead, they can use a set of tools and services to responsibly deploy the required cloud components securely, including both the code and infrastructure.","Docker
DevOps
AWS
Python
Kubernetes",https://www.instahyre.com/job-328446-devops-engineer-i-at-optiq-bangalore/
WebileApps,Senior Software Engineer,Hyderabad,Founded in 2011,10 - 50 employees,"Initially a web development company, we embraced mobility as early as 2009 and released our first apps for iPhone in 2009 and android in 2010 We have currently worked on apps for apple watch, tablets, android wearables, mac, windows desktop and the newly released apple TV platform. We let our clients turn their idea into a prototype in just 4 weeks with the help of our very own fast, lean, and reliable pop-up design and development team.

WebileApps provides design and development for startups and innovative companies who are ready to scale. Having built apps for 10 years, WebileApps offers an instant, experienced, full-service design and development team.","Python
Django
Flask",https://www.instahyre.com/job-325180-senior-software-engineer-at-webileapps-hyderabad/
Altimetrik,SDET - Data,Work From Home,Founded in 2012,More than 1000 employees,"Altimetrik is a business transformation & technology solutions provider to enterprises in areas of Digital, Connected Solutions and Consumer Technologies - working with enterprises on latest trend adoption through Outcome Engineering, hand-holding them through the entire Value Realization cycle and realizing this transformation through advanced technologies, design-led engineering principles and our unique capability centers. Headquartered in Southfield, Michigan, Altimetrik has its technologists spread across the globe including USA (Southfield, Princeton & San Francisco), India (Bengaluru, Chennai, Pune & Mumbai), Uruguay (Montevideo), Singapore and UAE (Sharjah).

We at Altimetrik. Simplify technologies. Amplify possibilities.","SDET
SQL
ETL
Python
AWS",https://www.instahyre.com/job-329500-sdet-data-at-altimetrik-work-from-home/
Blend360,Senior Data Engineer,Hyderabad,Founded in 2005,200 - 500 employees,"At Blend360 it is all about advancing marketing capabilities and performance. We are organized to help marketers in the way they need help, differentiated from the traditional, in 3 ways: Our passion and expertise are focused where marketers need the most help: Digital Talent, Data & Analytics, and Technology, Our blended delivery approach allows us to engage as an insourced or outsourced solution to help drive growth and hit goals, and Our unique buying model allows marketers to buy what they want in the way they want it.

We partner with marketing and analytics teams to assess, define, and build the right strategies and capabilities to best utilize data and addressable media opportunities. Our focus is on solutions that power organization to engage customers in new and innovative ways. We re-envision and re-define strategies to drive growth.","Python
Big Data
SQL
Hadoop
ETL",https://www.instahyre.com/job-327908-senior-data-engineer-at-blend360-hyderabad/
E2open,Lead Data Engineer,Hyderabad,Founded in 2000,More than 1000 employees,"At E2open, we're creating a more connected, intelligent supply chain. It starts with sensing and responding to real-time demand, supply and delivery constraints.

Bringing together data from customers, distribution channels, suppliers, contract manufacturers and logistics partners, our collaborative and agile supply chain platform enables companies to use data in real-time, with artificial intelligence and machine learning to drive smarter decisions.

All this complex information is delivered in a single view that encompasses your demand, supply and logistics ecosystems. E2open is changing everything. Demand. Supply. Delivered.","Python
PySpark
SQL
Azure Data Factory
Data Analysis",https://www.instahyre.com/job-294373-lead-data-engineer-at-e2open-hyderabad/
Narvar,Staff Software Engineer,Bangalore,Founded in 2012,200 - 500 employees,"We're on a mission to simplify the everyday lives of consumers. We believe post-purchase is a critical phase of the customer journey. That's why we created Narvar - a platform focused on driving customer loyalty through seamless post-purchase experiences that allow retailers to retain, engage, and delight customers. If you've ever bought something online, there's a good chance you've used our platform!

From the hottest new direct-to-consumer companies to retail's most renowned brands, Narvar works with Glossier, Home Depot, Neiman Marcus, Sonos, and 600+ other brands. With offices in San Francisco, London, and Bangalore, together we've served over 400 million consumers worldwide across 7 billion interactions, 38 countries, and 55 languages.

Pioneering the post-purchase movement means navigating into the unknown. Our team thrives on this sense of adventure while nurturing a mindset of innovation. We're a home for big hearts and we leave our egos at the door. We work hard but we always make time to celebrate professional wins, baby showers, birthday parties, and everything in between.","Python
PyTorch
TensorFlow
Deployment
Machine Learning",https://www.instahyre.com/job-314770-staff-software-engineer-at-narvar-bangalore/
FERMAT,Senior Software Engineer - Backend,Bangalore,Founded in 2021,10 - 50 employees,"FERMAT was created by two like-minded entrepreneurs and a collective of next-generation thinkers who are passionate about challenging outdated marketing methods for the good of brands, creators, and consumers. We're the 1 Content Commerce Tool. At FERMAT, we're changing the way clients do business through our content-native shopping platform, allowing brands to drive strong conversions and customer acquisition. FERMAT is uncomplicated distributed commerce marketing with a frictionless customer experience. Our platform is engineered to empower your marketing, and up-level brand sales and serve the end-users.

We're helping brands make the most out of their paid marketing efforts. Optimize the content ads by discovering efficient revenue streams (with very little effort). By integrating the brand with FERMAT, clients can unlock the power of potential.","Golang
Python
Java",https://www.instahyre.com/job-301666-senior-software-engineer-backend-at-fermat-bangalore/
GigaML,Full Stack Engineer,Work From Home,Founded in 2023,0 - 10 employees,"We implement hallucination checks to make sure the support never says something it should not. We always fall back to humans in case of an unknown scenario. All can progressively automate more and more workflows of customer support. We have built-in metrics to track customer support (AI and Humans), to help decide which workflow needs to be automated. We leverage AI-based insights into support to identify the scenarios that lead to customer churn. We uncover innovative ideas and improvements that align with user needs and expectations.","React.js
Python
Django
AWS
Data Structures",https://www.instahyre.com/job-327115-full-stack-engineer-at-gigaml-work-from-home/
Loco,Backend Developer,Work From Home,Founded in 2020,50 - 200 employees,"Loco is India's leading live game streaming platform. Now you can watch your favorite streams of Battlegrounds Mobile India, Call Of Duty Mobile, Free Fire, Valorant, CS GO, DOTA 2 FIFA, and more.

We are building a cutting edge tech to:
Solve for scale on massive concurrent live stream views
Build best-in-class live streaming video latency and interactivity
Create the capability to handle high in-app transaction volumes
Enable rapid iteration by constructing a microservices architecture
Leverage the Web3 opportunity by building exciting on-chain applications and services


Our investors include KRAFTON Inc., Lumikai Fund, Hashed, Hiro Capital, Axilor Ventures, 3one4 Capital & North Base Media","Golang
Node.js
Python
Django",https://www.instahyre.com/job-268715-backend-developer-at-loco-work-from-home/
Beem,Sr. Data Scientist,Work From Home,Founded in 2020,50 - 200 employees,"Beem is a profitable AI First Fintech Platform that accurately risks ranks over 100M who form the bottom 80% of the US working population, without using FICO. Beem uses this to facilitate payments, and distribution of goods and services, at risk-adjusted prices and at relevant inflection points in their personal financial journey while continuing to capture more of the $10 trillion in annual spending power they have.

We are building an inclusive modern financial network that allows individuals to establish trust and creditworthiness without the need for credit history, credit score, or payslips. Join our high-trust network of credit-worthy individuals and service providers and access affordable financial services like personal credit via our iOS and Android apps. Beem is founded and supported by a team of doers, makers, and hustlers like you who have built financial platforms that bring in over 5B year-over-year, personal finance management apps that rank #1 in over 27 countries, and the world's leading service for underbanked and the unbanked individuals worldwide.","Data Mining
Machine Learning
Python
Scikit-learn",https://www.instahyre.com/job-307638-sr-data-scientist-at-beem-2-work-from-home/
Impact Analytics,Senior Backend Engineer (Python),Bangalore,Founded in 2015,50 - 200 employees,"We are a 360-degree data-science solutions company, dedicated to serving our clients through a synthesis of business consulting, analytics services and products. We are a team of data scientists, management consultants and entrepreneurs with strong academic and business pedigree. Our core team includes alumni from top educational institutes such as Harvard, MIT, Columbia, IIT, IIM and top consulting firms such as McKinsey, BCG. Our expertise spans across multiple industries and 300+ projects with more than 70 years of cumulative experience between us. We bring the best of data science to your team. Our delivery model and experience allow us to help clients achieve data science excellence, but at a minimal cost.

At Impact Analytics, we conceptualize, develop and deploy advanced analytics products & services for data driven decision making. Our offerings span across forecasting, pricing and promotions management, consumer and marketing analytics, visualisation and reporting.","Python
Data Structures
Flask
Django
Algorithms",https://www.instahyre.com/job-318434-senior-backend-engineer-python-at-impact-analytics-bangalore/
Lightup Data,Backend Lead,Bangalore,Founded in 2019,10 - 50 employees,"Lightup is a no-code data quality platform that enables enterprises to achieve 100% data quality coverage 10x faster than legacy tools, across multi-cloud, hybrid, and on-premises environments, on batch or streaming data - scalable in minutes, not months. With prebuilt pushdown data quality checks, AI-powered anomaly detection, real-time incident alerts, and integrated issue resolution management, Lightup empowers data teams to proactively monitor data health at the fine granularity and quickly pinpoint bad data flowing in good data pipelines to ensure reliable, accurate business-critical data and prevent costly data outages, before they occur.","Python
Django
Data Structures
Kubernetes
Terraform",https://www.instahyre.com/job-322790-backend-lead-at-lightup-data-bangalore/
Myntra,Data Analyst,Bangalore,Founded in 2007,More than 1000 employees,"Myntra is India's leading e-commerce company committed to making fashion and lifestyle products accessible to everyone. We create solutions that disrupt the ordinary and help make the world a happier, more fashionable place.

We are a company that is constantly evolving into newer and better forms and we look for people who are ready to evolve with us. From our beginnings as a customization company in 2007 to being technology and fashion pioneers today, Myntra is going places and we want you to take this journey with us.","Business Intelligence
SQL
Python
Microsoft Excel
Tableau",https://www.instahyre.com/job-318563-data-analyst-at-myntra-3-bangalore/
Wint Wealth,Business Analyst,Bangalore,Founded in 2020,50 - 200 employees,"Wint Wealth has been created to revolutionize the fintech industry by democratizing debt investment
options for investors. Our platform provides diversification avenues for wealth-driven individuals by
providing access to investment products with investments as low as 10,000 and educating everyone
who's curious to know more about them. We bring assets that give higher returns than FD and are
less risky than stocks (9-11%).","Data Analysis
SQL
Python
Microsoft Excel
Power BI",https://www.instahyre.com/job-329311-business-analyst-at-wint-wealth-bangalore/
